step,mse_loss,epoch,loss,r2_score,val_mae,val_r2_score,val_mse_loss,test_mse_loss,test_mae,test_r2_score
0,5765.52490234375,0,16026.52734375,-1.1990692615509033,,,,,,
1,7389.49169921875,0,20498.244140625,-1.0118966102600098,,,,,,
2,6553.2392578125,0,18040.162109375,-1.3572897911071777,,,,,,
3,7013.13720703125,0,18065.091796875,-1.359584093093872,,,,,,
4,6274.53466796875,0,16584.92578125,-1.3970284461975098,,,,,,
5,6396.58251953125,0,16348.845703125,-1.3086214065551758,,,,,,
6,7430.58935546875,0,19316.990234375,-1.457885980606079,,,,,,
7,5713.10791015625,0,15724.4345703125,-1.1407127380371094,,,,,,
8,7730.4482421875,0,20228.08203125,-1.4336028099060059,,,,,,
9,6924.7333984375,0,19079.833984375,-1.401897668838501,,,,,,
10,5207.0283203125,0,14585.5224609375,-1.0684666633605957,,,,,,
11,4157.92138671875,0,10545.2587890625,-1.7294886112213135,,,,,,
12,6604.58984375,0,18617.470703125,-0.865382194519043,,,,,,
13,5803.6044921875,0,15293.1962890625,-1.0941357612609863,,,,,,
14,4745.89697265625,0,14649.76171875,-0.5861446857452393,,,,,,
15,4495.57275390625,0,12502.875,-0.9932587146759033,,,,,,
16,3708.266845703125,0,11706.501953125,-0.23975074291229248,,,,,,
17,6421.4443359375,0,16896.8046875,-0.8007712364196777,,,,,,
18,5866.4853515625,0,15954.8837890625,-0.4745262861251831,,,,,,
19,4419.6611328125,0,13972.4130859375,-0.11866450309753418,,,,,,
20,4675.51025390625,0,14542.8203125,0.16074955463409424,,,,,,
21,4643.521484375,0,12594.505859375,0.1690741777420044,,,,,,
22,3059.34716796875,0,7515.259765625,0.4961922764778137,,,,,,
23,3473.4287109375,0,8575.126953125,0.5001116991043091,,,,,,
24,3755.874755859375,0,10618.568359375,0.2716106176376343,,,,,,
25,2479.129638671875,0,6795.88623046875,0.5877612829208374,,,,,,
26,2544.2041015625,0,6711.0751953125,0.5388408899307251,,,,,,
27,2803.85888671875,0,6875.0556640625,0.5426164269447327,,,,,,
28,3666.550048828125,0,8645.7783203125,0.5043014883995056,,,,,,
29,2624.900146484375,0,7091.61669921875,0.6373652219772339,,,,,,
30,1731.35498046875,0,4046.67919921875,0.5461611747741699,,,,,,
30,,0,,,5542.578125,0.5677427053451538,7945.4287109375,,,
31,2375.092529296875,1,5464.30419921875,0.5349156856536865,,,,,,
32,2732.762939453125,1,7474.49951171875,0.6381409168243408,,,,,,
33,2767.781494140625,1,6531.56884765625,0.7268365621566772,,,,,,
34,2356.123046875,1,5343.181640625,0.6203254461288452,,,,,,
35,2365.66259765625,1,4786.94873046875,0.6815691590309143,,,,,,
36,1928.3939208984375,1,5023.7685546875,0.7411852478981018,,,,,,
37,2308.859619140625,1,5991.615234375,0.6919257640838623,,,,,,
38,2458.416015625,1,7631.4296875,0.6938343048095703,,,,,,
39,2546.5478515625,1,5491.90185546875,0.748016893863678,,,,,,
40,2489.977783203125,1,5709.7763671875,0.719388484954834,,,,,,
41,2104.01611328125,1,5299.5244140625,0.7778631448745728,,,,,,
42,2279.33447265625,1,5369.2275390625,0.7227842807769775,,,,,,
43,3377.1484375,1,8635.4248046875,0.6075843572616577,,,,,,
44,3067.177001953125,1,7626.28564453125,0.6837517619132996,,,,,,
45,2796.928466796875,1,6753.94580078125,0.7538970708847046,,,,,,
46,2744.9189453125,1,5735.91796875,0.811682403087616,,,,,,
47,2859.05224609375,1,6605.33154296875,0.7833852767944336,,,,,,
48,4112.7890625,1,8275.8125,0.31756865978240967,,,,,,
49,2499.5634765625,1,5646.42041015625,0.781538188457489,,,,,,
50,3463.84814453125,1,7831.33349609375,0.6777400970458984,,,,,,
51,2713.5107421875,1,6055.501953125,0.731931209564209,,,,,,
52,3395.547119140625,1,7143.646484375,0.6083968877792358,,,,,,
53,2436.3623046875,1,5142.11767578125,0.5598599314689636,,,,,,
54,2407.14306640625,1,5521.9013671875,0.7825822830200195,,,,,,
55,1544.8238525390625,1,3862.64453125,0.878950834274292,,,,,,
56,1753.00146484375,1,4101.79345703125,0.8990010619163513,,,,,,
57,3699.294921875,1,8849.423828125,0.5144275426864624,,,,,,
58,3959.84033203125,1,9441.2431640625,0.5424904823303223,,,,,,
59,2586.144287109375,1,6846.18310546875,0.7450417280197144,,,,,,
60,2216.706787109375,1,4789.07080078125,0.7719100713729858,,,,,,
61,2415.740966796875,1,5189.37939453125,0.48752301931381226,,,,,,
61,,1,,,4481.93798828125,0.6708111763000488,6577.921875,,,
62,2414.13671875,2,5553.10205078125,0.8051908612251282,,,,,,
63,2653.792236328125,2,6788.32080078125,0.6739553213119507,,,,,,
64,1992.64208984375,2,4090.9375,0.8582339286804199,,,,,,
65,1679.8551025390625,2,3942.9736328125,0.9069384336471558,,,,,,
66,1899.4583740234375,2,4318.6123046875,0.8429251313209534,,,,,,
67,2141.256103515625,2,5175.79150390625,0.6538224816322327,,,,,,
68,2585.2919921875,2,6135.49267578125,0.6111494302749634,,,,,,
69,2255.19189453125,2,6259.15966796875,0.8158009052276611,,,,,,
70,3265.60595703125,2,7905.68896484375,0.6727678775787354,,,,,,
71,2742.890380859375,2,6787.05322265625,0.7054727673530579,,,,,,
72,2347.955810546875,2,5791.81884765625,0.6481088399887085,,,,,,
73,2478.1064453125,2,6508.87060546875,0.731441080570221,,,,,,
74,2386.94482421875,2,5458.24169921875,0.6953288316726685,,,,,,
75,1773.579345703125,2,4937.9228515625,0.864680290222168,,,,,,
76,3263.36669921875,2,8456.439453125,0.6748067140579224,,,,,,
77,3378.867431640625,2,7278.51611328125,0.5768501162528992,,,,,,
78,2092.887451171875,2,5769.908203125,0.7568570375442505,,,,,,
79,2170.764892578125,2,4815.6611328125,0.8400653600692749,,,,,,
80,2185.331298828125,2,5548.154296875,0.7056007385253906,,,,,,
81,2670.903564453125,2,6259.2470703125,0.7163571119308472,,,,,,
82,3293.629150390625,2,6867.283203125,0.7236059904098511,,,,,,
83,2257.190673828125,2,4912.88818359375,0.78156977891922,,,,,,
84,2099.139892578125,2,5161.11083984375,0.7434225082397461,,,,,,
85,2700.115966796875,2,6707.0224609375,0.5097906589508057,,,,,,
86,2288.635986328125,2,5711.1875,0.8135653734207153,,,,,,
87,2407.380615234375,2,5853.1884765625,0.7194191217422485,,,,,,
88,2588.684326171875,2,5983.87109375,0.6048496961593628,,,,,,
89,3092.428955078125,2,7362.580078125,0.6464439630508423,,,,,,
90,2485.4384765625,2,6938.2529296875,0.766775906085968,,,,,,
91,2500.192138671875,2,5410.1806640625,0.7671698927879333,,,,,,
92,1911.43212890625,2,4697.744140625,-2.4207072257995605,,,,,,
92,,2,,,4387.404296875,0.6574053764343262,6658.39306640625,,,
93,2751.99560546875,3,6832.1982421875,0.6154515743255615,,,,,,
94,2580.448974609375,3,7084.1689453125,0.4381914734840393,,,,,,
95,2766.741943359375,3,6744.1044921875,0.707502007484436,,,,,,
96,2430.165283203125,3,5549.7158203125,0.5912784337997437,,,,,,
97,1607.3917236328125,3,3828.710693359375,0.7597861289978027,,,,,,
98,2466.24072265625,3,6041.73876953125,0.7249599695205688,,,,,,
99,2165.61572265625,3,5767.01318359375,0.845221996307373,,,,,,
100,2604.630615234375,3,7124.46923828125,0.7210321426391602,,,,,,
101,1892.16064453125,3,4631.90869140625,0.8658462166786194,,,,,,
102,2356.880859375,3,5262.27880859375,0.7509016394615173,,,,,,
103,2479.52734375,3,6603.0537109375,0.7631256580352783,,,,,,
104,2703.615966796875,3,5939.8486328125,0.3964580297470093,,,,,,
105,3058.24755859375,3,7701.07958984375,0.6753315925598145,,,,,,
106,2579.505126953125,3,6623.9814453125,0.7932959794998169,,,,,,
107,3021.658447265625,3,7211.1357421875,0.7514524459838867,,,,,,
108,3338.283447265625,3,8120.39404296875,0.505385160446167,,,,,,
109,2608.9462890625,3,6173.6181640625,0.08397281169891357,,,,,,
110,2124.49267578125,3,5525.400390625,0.7522810697555542,,,,,,
111,2704.998779296875,3,7455.42626953125,0.7986054420471191,,,,,,
112,2344.9892578125,3,5625.4814453125,0.6877282857894897,,,,,,
